abr_ware_code,ware_label_nl,ware_uri,en_aliases,needs_review
,"amfoor aardewerk, Baetica (Gaudalquivir)",https://data.cultureelerfgoed.nl/term/id/abr/7b9266c8-bbf3-4702-b38e-3219fb743330,,
,"amfoor aardewerk, Egeïsch gebied",https://data.cultureelerfgoed.nl/term/id/abr/61b5a2e1-ceaa-4462-bfd0-49f24595ea3e,,
,"amfoor aardewerk, Gallië",https://data.cultureelerfgoed.nl/term/id/abr/54601c64-4f4b-4ef5-b1c1-e38f485a7801,,
,"amfoor aardewerk, Italië",https://data.cultureelerfgoed.nl/term/id/abr/df9250a3-83d2-41de-bdd1-f442394ae325,,
,"amfoor aardewerk, Zuid-Spanje (kust)",https://data.cultureelerfgoed.nl/term/id/abr/f79dc748-3ae4-4aa5-83b9-35526cfc3e49,,
,archaïsche majolica,https://data.cultureelerfgoed.nl/term/id/abr/47209b6f-20df-4871-8ce8-d2a23c8cd91a,,
,badorfaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/4c74f143-c15f-418d-8451-dbec8c80899d,,
,badorfaardewerk (Hunneschans-type),https://data.cultureelerfgoed.nl/term/id/abr/53611175-c12c-4520-adca-437899332c24,,
,beschilderd Mayen aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/9e7c7e0f-29aa-4724-97a1-68f9bae9a0ae,,
,bijna-steengoed,https://data.cultureelerfgoed.nl/term/id/abr/b2a87c16-1cb9-4a68-8100-985c8a7dc555,,
,biscuit voor majolica of faience,https://data.cultureelerfgoed.nl/term/id/abr/d6041d1f-1d86-4a8e-89b5-0da2afad1f32,,
,blauwgrijs aardewerk,https://data.cultureelerfgoed.nl/term/id/abr/ded22cca-2169-45a5-967c-c62e68fba15b,,
,blauwgrijs aardewerk (Elmpt-type),https://data.cultureelerfgoed.nl/term/id/abr/843df422-e1e6-4c90-88c8-07c4abe0305c,,
,blauwgrijs aardewerk (Paffrath-type),https://data.cultureelerfgoed.nl/term/id/abr/28a6ce3d-351d-42bf-953f-1e2ea43331a4,,
,briquetage materiaal,https://data.cultureelerfgoed.nl/term/id/abr/51a71eea-00d8-4880-9c07-2a52a656f06e,,
,"briquetage-aardewerk, A1-waar",https://data.cultureelerfgoed.nl/term/id/abr/aa7d00e2-c562-41a4-bfc8-1dc627c96686,,
,"briquetage-aardewerk, A2-waar",https://data.cultureelerfgoed.nl/term/id/abr/f0187d5e-87d8-4779-8e1e-593ffc68198d,,
,"briquetage-aardewerk, B1-waar",https://data.cultureelerfgoed.nl/term/id/abr/6d71929e-0a82-4cbc-99bb-86f560319547,,
,"briquetage-aardewerk, B2-waar",https://data.cultureelerfgoed.nl/term/id/abr/71a62924-756e-40ba-a61e-38fe99dfcc3e,,
,dieburgaardewerk,https://data.cultureelerfgoed.nl/term/id/abr/924d0bcc-e4ad-4d31-8ac6-8e9a68ed276e,,
